session_code,data_group,column,dtype,n_rows,n_null
FP3,weather_data,Humidity,float64,82,0
FP3,weather_data,Pressure,float64,82,0
FP3,weather_data,Rainfall,bool,82,0
FP3,weather_data,TrackTemp,float64,82,0
FP3,weather_data,WindDirection,int64,82,0
FP3,weather_data,WindSpeed,float64,82,0
FP3,track_status,Time,timedelta64[ns],6,0
FP3,track_status,Status,object,6,0
FP3,track_status,Message,object,6,0
FP3,circuit_info.corners,X,float64,18,0
FP3,circuit_info.corners,Y,float64,18,0
FP3,circuit_info.corners,Number,int64,18,0
FP3,circuit_info.corners,Letter,object,18,0
FP3,circuit_info.corners,Angle,float64,18,0
FP3,circuit_info.corners,Distance,float64,18,0
FP3,telemetry(fastest_lap),Date,datetime64[ns],731,0
FP3,telemetry(fastest_lap),SessionTime,timedelta64[ns],731,0
FP3,telemetry(fastest_lap),DriverAhead,object,731,0
FP3,telemetry(fastest_lap),DistanceToDriverAhead,float64,731,0
FP3,telemetry(fastest_lap),Time,timedelta64[ns],731,0
FP3,telemetry(fastest_lap),RPM,float64,731,0
FP3,telemetry(fastest_lap),Speed,float64,731,0
FP3,telemetry(fastest_lap),nGear,int64,731,0
FP3,telemetry(fastest_lap),Throttle,float64,731,0
FP3,telemetry(fastest_lap),Brake,bool,731,0
FP3,telemetry(fastest_lap),DRS,int64,731,0
FP3,telemetry(fastest_lap),Source,object,731,0
FP3,telemetry(fastest_lap),Distance,float64,731,0
FP3,telemetry(fastest_lap),RelativeDistance,float64,731,0
FP3,telemetry(fastest_lap),Status,object,731,0
FP3,telemetry(fastest_lap),X,float64,731,0
FP3,telemetry(fastest_lap),Y,float64,731,0
FP3,telemetry(fastest_lap),Z,float64,731,0
FP3,pos_data(driver=1),Date,datetime64[ns],18202,0
FP3,pos_data(driver=1),Status,object,18202,0
FP3,pos_data(driver=1),X,float64,18202,0
FP3,pos_data(driver=1),Y,float64,18202,0
FP3,pos_data(driver=1),Z,float64,18202,0
FP3,pos_data(driver=1),Source,object,18202,0
FP3,pos_data(driver=1),Time,timedelta64[ns],18202,0
FP3,pos_data(driver=1),SessionTime,timedelta64[ns],18202,0
Q,laps,LapTime,timedelta64[ns],368,113
Q,laps,Compound,object,368,0
Q,laps,TyreLife,float64,368,0
Q,laps,Stint,float64,368,0
Q,laps,IsAccurate,bool,368,0
Q,laps,PitInTime,timedelta64[ns],368,267
Q,laps,PitOutTime,timedelta64[ns],368,266
Q,laps,TrackStatus,object,368,0
Q,weather_data,Time,timedelta64[ns],85,0
Q,weather_data,AirTemp,float64,85,0
Q,weather_data,Humidity,float64,85,0
Q,weather_data,Pressure,float64,85,0
Q,weather_data,Rainfall,bool,85,0
Q,weather_data,TrackTemp,float64,85,0
Q,weather_data,WindDirection,int64,85,0
Q,weather_data,WindSpeed,float64,85,0
Q,track_status,Time,timedelta64[ns],4,0
Q,track_status,Status,object,4,0
Q,track_status,Message,object,4,0
Q,circuit_info.corners,X,float64,18,0
Q,circuit_info.corners,Y,float64,18,0
Q,circuit_info.corners,Number,int64,18,0
Q,circuit_info.corners,Letter,object,18,0
Q,circuit_info.corners,Angle,float64,18,0
Q,circuit_info.corners,Distance,float64,18,0
Q,telemetry(fastest_lap),Date,datetime64[ns],647,0
Q,telemetry(fastest_lap),SessionTime,timedelta64[ns],647,0
Q,telemetry(fastest_lap),DriverAhead,object,647,0
Q,telemetry(fastest_lap),DistanceToDriverAhead,float64,647,647
Q,telemetry(fastest_lap),Time,timedelta64[ns],647,0
Q,telemetry(fastest_lap),RPM,float64,647,0
Q,telemetry(fastest_lap),Speed,float64,647,0
Q,telemetry(fastest_lap),nGear,int64,647,0
Q,telemetry(fastest_lap),Throttle,float64,647,0
Q,telemetry(fastest_lap),Brake,bool,647,0
Q,telemetry(fastest_lap),DRS,int64,647,0
Q,telemetry(fastest_lap),Source,object,647,0
Q,telemetry(fastest_lap),Distance,float64,647,0
Q,telemetry(fastest_lap),RelativeDistance,float64,647,0
Q,telemetry(fastest_lap),Status,object,647,0
Q,telemetry(fastest_lap),X,float64,647,0
Q,telemetry(fastest_lap),Y,float64,647,0
Q,telemetry(fastest_lap),Z,float64,647,0
Q,pos_data(driver=63),Date,datetime64[ns],19665,0
Q,pos_data(driver=63),Status,object,19665,0
Q,pos_data(driver=63),X,float64,19665,0
Q,pos_data(driver=63),Y,float64,19665,0
Q,pos_data(driver=63),Z,float64,19665,0
Q,pos_data(driver=63),Source,object,19665,0
Q,pos_data(driver=63),Time,timedelta64[ns],19665,0
Q,pos_data(driver=63),SessionTime,timedelta64[ns],19665,0
R,laps,LapTime,timedelta64[ns],960,0
R,laps,Compound,object,960,0
R,laps,TyreLife,float64,960,0
R,laps,Stint,float64,960,0
R,laps,IsAccurate,bool,960,0
R,laps,PitInTime,timedelta64[ns],960,914
R,laps,PitOutTime,timedelta64[ns],960,914
R,laps,TrackStatus,object,960,0
R,weather_data,Time,timedelta64[ns],147,0
R,weather_data,AirTemp,float64,147,0
R,weather_data,Humidity,float64,147,0
R,weather_data,Pressure,float64,147,0
R,weather_data,Rainfall,bool,147,0
R,weather_data,TrackTemp,float64,147,0
R,weather_data,WindDirection,int64,147,0
R,weather_data,WindSpeed,float64,147,0
R,track_status,Time,timedelta64[ns],1,0
R,track_status,Status,object,1,0
R,track_status,Message,object,1,0
R,circuit_info.corners,X,float64,18,0
R,circuit_info.corners,Y,float64,18,0
R,circuit_info.corners,Number,int64,18,0
R,circuit_info.corners,Letter,object,18,0
R,circuit_info.corners,Angle,float64,18,0
R,circuit_info.corners,Distance,float64,18,0
R,telemetry(fastest_lap),Date,datetime64[ns],675,0
R,telemetry(fastest_lap),SessionTime,timedelta64[ns],675,0
R,telemetry(fastest_lap),DriverAhead,object,675,0
R,telemetry(fastest_lap),DistanceToDriverAhead,float64,675,0
R,telemetry(fastest_lap),Time,timedelta64[ns],675,0
R,telemetry(fastest_lap),RPM,float64,675,0
R,telemetry(fastest_lap),Speed,float64,675,0
R,telemetry(fastest_lap),nGear,int64,675,0
R,telemetry(fastest_lap),Throttle,float64,675,0
R,telemetry(fastest_lap),Brake,bool,675,0
R,telemetry(fastest_lap),DRS,int64,675,0
R,telemetry(fastest_lap),Source,object,675,0
R,telemetry(fastest_lap),Distance,float64,675,0
R,telemetry(fastest_lap),RelativeDistance,float64,675,0
R,telemetry(fastest_lap),Status,object,675,0
R,telemetry(fastest_lap),X,float64,675,0
R,telemetry(fastest_lap),Y,float64,675,0
R,telemetry(fastest_lap),Z,float64,675,0
R,pos_data(driver=44),Date,datetime64[ns],33899,0
R,pos_data(driver=44),Status,object,33899,0
R,pos_data(driver=44),X,float64,33899,0
R,pos_data(driver=44),Y,float64,33899,0
R,pos_data(driver=44),Z,float64,33899,0
R,pos_data(driver=44),Source,object,33899,0
R,pos_data(driver=44),Time,timedelta64[ns],33899,0
R,pos_data(driver=44),SessionTime,timedelta64[ns],33899,0
