feature,mean_abs_shap,algo,regime,seed,source_file
s_12,0.1355386344445315,ppo,safe,2,shap_ppo_safe_seed=2.csv
s_0,0.1316740402934348,ppo,safe,1,shap_ppo_safe_seed=1.csv
s_6,0.1160347544860363,ppo,safe,0,shap_ppo_safe_seed=0.csv
s_7,0.1142410583301479,ppo,safe,1,shap_ppo_safe_seed=1.csv
s_6,0.0975282117428924,ppo,safe,2,shap_ppo_safe_seed=2.csv
s_5,0.0974151986641828,ppo,safe,2,shap_ppo_safe_seed=2.csv
s_7,0.0942260731235499,ppo,safe,0,shap_ppo_safe_seed=0.csv
s_16,0.1264731336401543,ppo,unconstrained,2,shap_ppo_unconstrained_seed=2.csv
s_5,0.1000128457087065,ppo,unconstrained,0,shap_ppo_unconstrained_seed=0.csv
s_7,0.0932764747794539,ppo,unconstrained,1,shap_ppo_unconstrained_seed=1.csv
s_6,0.0929270293603552,ppo,unconstrained,0,shap_ppo_unconstrained_seed=0.csv
s_16,0.0875295227259325,ppo,unconstrained,1,shap_ppo_unconstrained_seed=1.csv
s_16,0.0659144217923069,ppo,unconstrained,0,shap_ppo_unconstrained_seed=0.csv
s_7,0.0469463061614192,ppo,unconstrained,2,shap_ppo_unconstrained_seed=2.csv
s_5,0.0456358616938619,ppo,unconstrained,1,shap_ppo_unconstrained_seed=1.csv
s_7,0.0326537259012672,ppo,unconstrained,0,shap_ppo_unconstrained_seed=0.csv
s_1,0.0307893656048036,ppo,unconstrained,2,shap_ppo_unconstrained_seed=2.csv
s_5,0.1018398270534084,reinforce,rulebook,2,shap_reinforce_rulebook_seed=2.csv
s_6,0.0985633018526699,reinforce,rulebook,2,shap_reinforce_rulebook_seed=2.csv
s_6,0.0802441907746579,reinforce,rulebook,1,shap_reinforce_rulebook_seed=1.csv
s_5,0.0490719989489976,reinforce,rulebook,0,shap_reinforce_rulebook_seed=0.csv
s_16,0.0432135017530974,reinforce,rulebook,1,shap_reinforce_rulebook_seed=1.csv
s_1,0.0422783319053026,reinforce,rulebook,0,shap_reinforce_rulebook_seed=0.csv
s_6,0.0380011520346932,reinforce,rulebook,0,shap_reinforce_rulebook_seed=0.csv
