feature,mean,std,min,max,count
s_5,0.15640605378233172,0.18157466052019144,0.0,0.6420447783088469,45
s_6,0.15549749728926726,0.19332554379599665,0.0,0.8284024967160666,45
s_12,0.14972501020048498,0.28613227291817994,0.0,1.0730591756862549,45
s_7,0.14120482216248995,0.15576793466219355,0.0008683489243557,0.6140023822569797,45
s_16,0.13464372643123393,0.1473201515473173,0.0007548111461759,0.6428809945043769,45
s_0,0.1220187272445603,0.15124000330604265,0.0020088097585198,0.6306963147814928,45
s_1,0.09793981975632388,0.11649548769882893,0.0,0.4436688131884374,45
s_2,0.08026350663325206,0.11072942698050328,0.0002079821168467,0.4058174158986368,45
s_13,0.07228449292197683,0.2204338165570789,0.0,1.1265238280223095,45
s_17,0.05680663245927127,0.14515849592327873,0.0,0.6870381396870581,45
s_11,0.04341835462544424,0.1338509539126696,0.0,0.728722669764202,45
s_10,0.00039787234271328886,0.0017057815706698373,0.0,0.0091001966893137,45
s_8,0.00033854694115007336,0.0014183303735820325,0.0,0.0071060110028591,45
s_15,0.0,0.0,0.0,0.0,45
s_3,0.0,0.0,0.0,0.0,45
s_4,0.0,0.0,0.0,0.0,45
s_14,0.0,0.0,0.0,0.0,45
s_9,0.0,0.0,0.0,0.0,45
