algo,a2c,a2c,a2c,dqn,dqn,dqn,ppo,ppo,ppo,reinforce,reinforce,reinforce,sarsa,sarsa,sarsa
regime,rulebook,safe,unconstrained,rulebook,safe,unconstrained,rulebook,safe,unconstrained,rulebook,safe,unconstrained,rulebook,safe,unconstrained
feature,,,,,,,,,,,,,,,
s_5,0.028807518169306736,0.025347157358976937,0.042085521420203366,0.2612909970594233,0.3712725312488135,0.28565154465226883,0.0503395231980782,0.1332549110742922,0.050100974600061965,0.05593019050895093,0.022646781617587736,0.03955712056895653,0.363779529467867,0.35713345458172013,0.25889305120846856
s_6,0.011732684644151234,0.04339163369030067,0.020686247718058135,0.29474063336644774,0.33797410609427003,0.3128569760544311,0.0560503139930327,0.08782406119153936,0.03421843627762457,0.07226954822067366,0.0117059359410596,0.05015309545794141,0.30988612728168374,0.32425362390185813,0.36471903550593693
s_12,0.22483521665042935,0.0,0.0237133715112376,0.5977211569407743,0.04463559109493406,0.23842576055087414,0.09053249793200507,0.07262959770733267,0.0,0.0,0.0,0.0,0.24052288778543962,0.41824786597871394,0.29461120685553377
s_7,0.06318924312717637,0.053381899158955574,0.05442343482662617,0.31161836083804856,0.29045559803676196,0.4220463509365384,0.0140701803021676,0.09915880601906253,0.05762550228071343,0.0091847117063176,0.028015861161335236,0.017844275136396064,0.20725750831508685,0.2640432459601074,0.22575735463205548
s_16,0.11227426603474223,0.03967484457973206,0.0923538619982972,0.3201858975119022,0.23529298455607264,0.28329443511931357,0.06140780961190664,0.1374230116312414,0.09330569271946458,0.017673037569019865,0.015357128722979368,0.02576633994332463,0.20370776382863257,0.17330991176451185,0.2086289108773682
s_0,0.03958254742806223,0.04434306659641354,0.020035441067617,0.23191062799753817,0.37939448307861007,0.3804516707072319,0.03347277136811253,0.07646344295870462,0.0253904646131277,0.022386856366228235,0.037136329841774264,0.028338398966213433,0.17574057617280867,0.19475094718712274,0.14088328431883937
s_1,0.039419754669115604,0.0294378757818969,0.025499676493515533,0.1695202285959092,0.2757664317161022,0.291535910411124,0.04025702270231227,0.048260093612337164,0.020866044033105866,0.026277557398356164,0.034863815085160406,0.0243058041780426,0.14689884265845793,0.14725368017360532,0.14893455883581705
s_2,0.0637027132052474,0.019734551811773433,0.010019682852059368,0.17758229950119706,0.3088137839877512,0.20034784543211448,0.017652975632818868,0.006436646521743466,0.0025865179706471,0.0128128472659417,0.012189555158523132,0.011490972876659,0.12370554996290796,0.11050324874982333,0.12637340856957338
s_13,0.0,0.0,0.0,0.39804772274108485,0.06217727413921576,0.04905549263127263,0.0,0.0,0.0,0.0,0.0,0.0,0.036567524147120466,0.16291143749685566,0.3755079426741032
s_17,0.010585289297563598,0.0,0.0042445466536734,0.34113755131870543,0.03574552361561943,0.25062570565395503,0.0035442492772051,0.03302247266602267,0.0,0.0,0.0251244012161119,0.0,0.0057969981128819,0.07489372323853784,0.06737902583879272
s_11,0.06320572549514233,0.0,0.0169827194251571,0.03295354058362607,0.0,0.2429075565880673,0.0735475560973954,0.05079296246011624,0.0,0.0,0.0004104338351273667,0.0,0.0,0.17047482489703178,0.0
s_10,0.0,0.0,0.0,0.0,0.0,0.0030333988964378997,0.0,0.0,0.0,0.0,0.0005987332198924333,0.0,0.0,0.002335953024369,0.0
s_8,0.0,0.0,0.0,0.0,0.0,0.0021052572953529,0.0,0.0,0.0,0.0,0.0006042764876118333,0.0,0.0,0.0023686703342863666,0.0
s_15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
