corner_number,corner_letter,corners_distance_m,nearest_sample_distance_m,diff_m,nearest_sample_xy_residual_raw,nearest_sample_xy_residual_m
1,,462.63641515080917,462.63641515080917,0.0,118.12070723004608,11.792446060566741
2,,609.6188668413886,609.6188668413886,0.0,10.685359352849618,1.066760661708936
3,,862.3090944087654,862.5105555555557,-0.2014611467902796,30.678087693437824,3.0627118889631864
4,,1034.4362239208244,1034.5280555555557,-0.09183163473130662,4.7656470198783385,0.4757729338359467
5,,1230.1430197021923,1230.1430197021923,0.0,48.61129258633602,4.853052942210798
6,,1957.6830962933784,1957.6830962933784,0.0,37.12840469318576,3.706671928458579
7,,2183.4398124572613,2183.4398124572613,0.0,18.171896513112717,1.8141705588651764
8,,2534.9729581417605,2534.9729581417605,0.0,44.17010233490316,4.409671779729789
9,,3056.982162616274,3056.982162616274,0.0,25.71456801017332,2.5671845635005655
10,,3612.966268260748,3612.966268260748,0.0,60.32918942255184,6.022895805708416
11,,3699.6127805352226,3699.6127805352226,0.0,9.292359609951959,0.9276921214358761
12,,3840.874424736957,3840.874424736957,0.0,50.12742979148928,5.004414770559557
13,,3985.5437760378964,3985.5437760378964,0.0,24.36693510491711,2.4326451697113933
14,,4131.829790228274,4129.231944444439,2.5978457838346003,7.580623775089818,0.7568029270185198
15,,4998.272170964423,4998.272170964423,0.0,33.13089457912967,3.3075850663661597
16,,5454.799588551897,5453.457777777778,1.3418107741190397,23.86890104513427,2.3829245074834216
17,,5536.935013889335,5540.394444444445,-3.459430555109975,22.890093662628065,2.285206389021692
18,,5684.40423169786,5689.443611111111,-5.039379413250572,5.6418390303164,0.5632465636853465
