quantity,n_laps,min,max,mean,sd,range
sector1_end_m,19,1804.9944914758278,1822.2609760841763,1811.75102661521,4.638593414421677,17.26648460834849
sector2_end_m,19,4218.496944444459,4251.92752211888,4237.444745973895,7.53640402493769,33.43057767442133
sector3_end_m,19,5799.119061751041,5837.717570876975,5818.499514064809,9.904440838739827,38.59850912593356
sector1_end_frac,19,0.31029530733949356,0.3127558836392337,0.311385934563962,0.0006321214404001541,0.0024605762997401137
sector2_end_frac,19,0.7272887541341528,0.7293484682943083,0.7282902439779086,0.0005550737384598734,0.0020597141601554902
sector3_end_frac,19,1.0000006754933541,1.0000934327375743,1.0000262082951215,2.688983977210353e-05,9.275724422019849e-05
