feature,mean,std,min,max,count
tyre_age_norm,0.1564060537823317,0.1815746605201914,0.0,0.6420447783088469,45
tyre_wear,0.1554974972892672,0.1933255437959966,0.0,0.8284024967160666,45
tyre_compound_1,0.1497250102004849,0.2861322729181799,0.0,1.0730591756862549,45
fuel_norm,0.1412048221624899,0.1557679346621935,0.0008683489243557,0.6140023822569797,45
risk_indicator,0.1346437264312339,0.1473201515473173,0.0007548111461759,0.6428809945043769,45
lap_fraction,0.1220187272445603,0.1512400033060426,0.0020088097585198,0.6306963147814928,45
race_time_norm,0.0979398197563238,0.1164954876988289,0.0,0.4436688131884374,45
pos_norm,0.080263506633252,0.1107294269805032,0.0002079821168467,0.4058174158986368,45
tyre_compound_2,0.0722844929219768,0.2204338165570789,0.0,1.1265238280223095,45
pit_count_norm,0.0568066324592712,0.1451584959232787,0.0,0.6870381396870581,45
tyre_compound_0,0.0434183546254442,0.1338509539126696,0.0,0.728722669764202,45
track_status_2,0.0003978723427132,0.0017057815706698,0.0,0.0091001966893137,45
track_status_0,0.00033854694115,0.001418330373582,0.0,0.0071060110028591,45
tyre_compound_4,0.0,0.0,0.0,0.0,45
gap_ahead,0.0,0.0,0.0,0.0,45
gap_behind,0.0,0.0,0.0,0.0,45
tyre_compound_3,0.0,0.0,0.0,0.0,45
track_status_1,0.0,0.0,0.0,0.0,45
