feature,mean_abs_shap,algo,regime,seed,source_file
lap_fraction,0.0503291688399512,a2c,safe,1,shap_a2c_safe_seed=1.csv
race_time_norm,0.0268995257101456,a2c,safe,1,shap_a2c_safe_seed=1.csv
pos_norm,0.0422758570618432,a2c,safe,1,shap_a2c_safe_seed=1.csv
gap_ahead,0.0,a2c,safe,1,shap_a2c_safe_seed=1.csv
gap_behind,0.0,a2c,safe,1,shap_a2c_safe_seed=1.csv
tyre_age_norm,0.0201677707333365,a2c,safe,1,shap_a2c_safe_seed=1.csv
tyre_wear,0.0039582164031267,a2c,safe,1,shap_a2c_safe_seed=1.csv
fuel_norm,0.0437327569273113,a2c,safe,1,shap_a2c_safe_seed=1.csv
track_status_0,0.0,a2c,safe,1,shap_a2c_safe_seed=1.csv
track_status_1,0.0,a2c,safe,1,shap_a2c_safe_seed=1.csv
track_status_2,0.0,a2c,safe,1,shap_a2c_safe_seed=1.csv
tyre_compound_0,0.0,a2c,safe,1,shap_a2c_safe_seed=1.csv
tyre_compound_1,0.0,a2c,safe,1,shap_a2c_safe_seed=1.csv
tyre_compound_2,0.0,a2c,safe,1,shap_a2c_safe_seed=1.csv
tyre_compound_3,0.0,a2c,safe,1,shap_a2c_safe_seed=1.csv
tyre_compound_4,0.0,a2c,safe,1,shap_a2c_safe_seed=1.csv
risk_indicator,0.0259985629079739,a2c,safe,1,shap_a2c_safe_seed=1.csv
pit_count_norm,0.0,a2c,safe,1,shap_a2c_safe_seed=1.csv
lap_fraction,0.0400279453445935,a2c,safe,2,shap_a2c_safe_seed=2.csv
race_time_norm,0.0428654666033397,a2c,safe,2,shap_a2c_safe_seed=2.csv
pos_norm,0.0007116187046022,a2c,safe,2,shap_a2c_safe_seed=2.csv
gap_ahead,0.0,a2c,safe,2,shap_a2c_safe_seed=2.csv
gap_behind,0.0,a2c,safe,2,shap_a2c_safe_seed=2.csv
tyre_age_norm,0.0042657978545,a2c,safe,2,shap_a2c_safe_seed=2.csv
tyre_wear,0.0086520573050089,a2c,safe,2,shap_a2c_safe_seed=2.csv
fuel_norm,0.0076169151796715,a2c,safe,2,shap_a2c_safe_seed=2.csv
track_status_0,0.0,a2c,safe,2,shap_a2c_safe_seed=2.csv
track_status_1,0.0,a2c,safe,2,shap_a2c_safe_seed=2.csv
track_status_2,0.0,a2c,safe,2,shap_a2c_safe_seed=2.csv
tyre_compound_0,0.0,a2c,safe,2,shap_a2c_safe_seed=2.csv
tyre_compound_1,0.0,a2c,safe,2,shap_a2c_safe_seed=2.csv
tyre_compound_2,0.0,a2c,safe,2,shap_a2c_safe_seed=2.csv
tyre_compound_3,0.0,a2c,safe,2,shap_a2c_safe_seed=2.csv
tyre_compound_4,0.0,a2c,safe,2,shap_a2c_safe_seed=2.csv
risk_indicator,0.0834645370576068,a2c,safe,2,shap_a2c_safe_seed=2.csv
pit_count_norm,0.0,a2c,safe,2,shap_a2c_safe_seed=2.csv
lap_fraction,0.0020088097585198,a2c,unconstrained,0,shap_a2c_unconstrained_seed=0.csv
race_time_norm,0.0183387661759216,a2c,unconstrained,0,shap_a2c_unconstrained_seed=0.csv
pos_norm,0.0268436066249901,a2c,unconstrained,0,shap_a2c_unconstrained_seed=0.csv
gap_ahead,0.0,a2c,unconstrained,0,shap_a2c_unconstrained_seed=0.csv
gap_behind,0.0,a2c,unconstrained,0,shap_a2c_unconstrained_seed=0.csv
tyre_age_norm,0.0759644061215176,a2c,unconstrained,0,shap_a2c_unconstrained_seed=0.csv
tyre_wear,0.0523318194516024,a2c,unconstrained,0,shap_a2c_unconstrained_seed=0.csv
fuel_norm,0.0230403611463552,a2c,unconstrained,0,shap_a2c_unconstrained_seed=0.csv
track_status_0,0.0,a2c,unconstrained,0,shap_a2c_unconstrained_seed=0.csv
track_status_1,0.0,a2c,unconstrained,0,shap_a2c_unconstrained_seed=0.csv
track_status_2,0.0,a2c,unconstrained,0,shap_a2c_unconstrained_seed=0.csv
tyre_compound_0,0.0509481582754713,a2c,unconstrained,0,shap_a2c_unconstrained_seed=0.csv
tyre_compound_1,0.0711401145337128,a2c,unconstrained,0,shap_a2c_unconstrained_seed=0.csv
tyre_compound_2,0.0,a2c,unconstrained,0,shap_a2c_unconstrained_seed=0.csv
tyre_compound_3,0.0,a2c,unconstrained,0,shap_a2c_unconstrained_seed=0.csv
tyre_compound_4,0.0,a2c,unconstrained,0,shap_a2c_unconstrained_seed=0.csv
risk_indicator,0.0630203815701999,a2c,unconstrained,0,shap_a2c_unconstrained_seed=0.csv
pit_count_norm,0.0127336399610202,a2c,unconstrained,0,shap_a2c_unconstrained_seed=0.csv
lap_fraction,0.0293703714281036,a2c,unconstrained,1,shap_a2c_unconstrained_seed=1.csv
race_time_norm,0.0273708976998214,a2c,unconstrained,1,shap_a2c_unconstrained_seed=1.csv
pos_norm,0.0007186155576223,a2c,unconstrained,1,shap_a2c_unconstrained_seed=1.csv
gap_ahead,0.0,a2c,unconstrained,1,shap_a2c_unconstrained_seed=1.csv
gap_behind,0.0,a2c,unconstrained,1,shap_a2c_unconstrained_seed=1.csv
tyre_age_norm,0.045637941741475,a2c,unconstrained,1,shap_a2c_unconstrained_seed=1.csv
tyre_wear,0.0085450742549484,a2c,unconstrained,1,shap_a2c_unconstrained_seed=1.csv
fuel_norm,0.0932836371721041,a2c,unconstrained,1,shap_a2c_unconstrained_seed=1.csv
track_status_0,0.0,a2c,unconstrained,1,shap_a2c_unconstrained_seed=1.csv
track_status_1,0.0,a2c,unconstrained,1,shap_a2c_unconstrained_seed=1.csv
track_status_2,0.0,a2c,unconstrained,1,shap_a2c_unconstrained_seed=1.csv
tyre_compound_0,0.0,a2c,unconstrained,1,shap_a2c_unconstrained_seed=1.csv
tyre_compound_1,0.0,a2c,unconstrained,1,shap_a2c_unconstrained_seed=1.csv
tyre_compound_2,0.0,a2c,unconstrained,1,shap_a2c_unconstrained_seed=1.csv
tyre_compound_3,0.0,a2c,unconstrained,1,shap_a2c_unconstrained_seed=1.csv
tyre_compound_4,0.0,a2c,unconstrained,1,shap_a2c_unconstrained_seed=1.csv
risk_indicator,0.0875680707845374,a2c,unconstrained,1,shap_a2c_unconstrained_seed=1.csv
pit_count_norm,0.0,a2c,unconstrained,1,shap_a2c_unconstrained_seed=1.csv
lap_fraction,0.0287271420162276,a2c,unconstrained,2,shap_a2c_unconstrained_seed=2.csv
race_time_norm,0.0307893656048036,a2c,unconstrained,2,shap_a2c_unconstrained_seed=2.csv
pos_norm,0.0024968263735657,a2c,unconstrained,2,shap_a2c_unconstrained_seed=2.csv
gap_ahead,0.0,a2c,unconstrained,2,shap_a2c_unconstrained_seed=2.csv
gap_behind,0.0,a2c,unconstrained,2,shap_a2c_unconstrained_seed=2.csv
tyre_age_norm,0.0046542163976175,a2c,unconstrained,2,shap_a2c_unconstrained_seed=2.csv
tyre_wear,0.0011818494476236,a2c,unconstrained,2,shap_a2c_unconstrained_seed=2.csv
fuel_norm,0.0469463061614192,a2c,unconstrained,2,shap_a2c_unconstrained_seed=2.csv
track_status_0,0.0,a2c,unconstrained,2,shap_a2c_unconstrained_seed=2.csv
track_status_1,0.0,a2c,unconstrained,2,shap_a2c_unconstrained_seed=2.csv
track_status_2,0.0,a2c,unconstrained,2,shap_a2c_unconstrained_seed=2.csv
tyre_compound_0,0.0,a2c,unconstrained,2,shap_a2c_unconstrained_seed=2.csv
tyre_compound_1,0.0,a2c,unconstrained,2,shap_a2c_unconstrained_seed=2.csv
tyre_compound_2,0.0,a2c,unconstrained,2,shap_a2c_unconstrained_seed=2.csv
tyre_compound_3,0.0,a2c,unconstrained,2,shap_a2c_unconstrained_seed=2.csv
tyre_compound_4,0.0,a2c,unconstrained,2,shap_a2c_unconstrained_seed=2.csv
risk_indicator,0.1264731336401543,a2c,unconstrained,2,shap_a2c_unconstrained_seed=2.csv
pit_count_norm,0.0,a2c,unconstrained,2,shap_a2c_unconstrained_seed=2.csv
lap_fraction,0.2252375724070376,dqn,rulebook,0,shap_dqn_rulebook_seed=0.csv
race_time_norm,0.2180655829019638,dqn,rulebook,0,shap_dqn_rulebook_seed=0.csv
pos_norm,0.230039879100869,dqn,rulebook,0,shap_dqn_rulebook_seed=0.csv
gap_ahead,0.0,dqn,rulebook,0,shap_dqn_rulebook_seed=0.csv
gap_behind,0.0,dqn,rulebook,0,shap_dqn_rulebook_seed=0.csv
tyre_age_norm,0.2726897442968407,dqn,rulebook,0,shap_dqn_rulebook_seed=0.csv
tyre_wear,0.2610958626330646,dqn,rulebook,0,shap_dqn_rulebook_seed=0.csv
fuel_norm,0.2516468541351364,dqn,rulebook,0,shap_dqn_rulebook_seed=0.csv
track_status_0,0.0,dqn,rulebook,0,shap_dqn_rulebook_seed=0.csv
track_status_1,0.0,dqn,rulebook,0,shap_dqn_rulebook_seed=0.csv
track_status_2,0.0,dqn,rulebook,0,shap_dqn_rulebook_seed=0.csv
tyre_compound_0,0.014975635268078,dqn,rulebook,0,shap_dqn_rulebook_seed=0.csv
tyre_compound_1,0.7201042951360682,dqn,rulebook,0,shap_dqn_rulebook_seed=0.csv
tyre_compound_2,0.8230643351768507,dqn,rulebook,0,shap_dqn_rulebook_seed=0.csv
tyre_compound_3,0.0,dqn,rulebook,0,shap_dqn_rulebook_seed=0.csv
tyre_compound_4,0.0,dqn,rulebook,0,shap_dqn_rulebook_seed=0.csv
risk_indicator,0.2357316910917291,dqn,rulebook,0,shap_dqn_rulebook_seed=0.csv
pit_count_norm,0.3248591172753099,dqn,rulebook,0,shap_dqn_rulebook_seed=0.csv
lap_fraction,0.0545580922872761,dqn,rulebook,1,shap_dqn_rulebook_seed=1.csv
race_time_norm,0.0,dqn,rulebook,1,shap_dqn_rulebook_seed=1.csv
pos_norm,0.0916816259729826,dqn,rulebook,1,shap_dqn_rulebook_seed=1.csv
gap_ahead,0.0,dqn,rulebook,1,shap_dqn_rulebook_seed=1.csv
gap_behind,0.0,dqn,rulebook,1,shap_dqn_rulebook_seed=1.csv
tyre_age_norm,0.1073529009231002,dqn,rulebook,1,shap_dqn_rulebook_seed=1.csv
tyre_wear,0.1368169387533621,dqn,rulebook,1,shap_dqn_rulebook_seed=1.csv
