feature,mean_abs_shap
s_0,0.41593621929830094
s_1,0.29049510288576386
s_2,0.21102539342973953
s_3,0.0
s_4,0.0
s_5,0.40383034595832923
s_6,0.48630909871291655
s_7,0.47390368674479894
s_8,0.0
s_9,0.0
s_10,0.0
s_11,0.0
s_12,0.0
s_13,0.0
s_14,0.0
s_15,0.0
s_16,0.6428809945043769
s_17,0.6359402205144508
