Driver,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,FreshTyre,Stint,TrackStatus,IsAccurate
HAM,2.0,0 days 00:01:31.420000,0 days 00:00:29.249000,0 days 00:00:37.314000,0 days 00:00:24.857000,MEDIUM,2.0,True,1.0,1,True
HAM,3.0,0 days 00:01:31.716000,0 days 00:00:29.287000,0 days 00:00:37.133000,0 days 00:00:25.296000,MEDIUM,3.0,True,1.0,1,True
HAM,4.0,0 days 00:01:31.988000,0 days 00:00:29.554000,0 days 00:00:37.258000,0 days 00:00:25.176000,MEDIUM,4.0,True,1.0,1,True
HAM,5.0,0 days 00:01:31.677000,0 days 00:00:29.469000,0 days 00:00:37.231000,0 days 00:00:24.977000,MEDIUM,5.0,True,1.0,1,True
HAM,6.0,0 days 00:01:31.746000,0 days 00:00:29.486000,0 days 00:00:37.195000,0 days 00:00:25.065000,MEDIUM,6.0,True,1.0,1,True
HAM,7.0,0 days 00:01:31.675000,0 days 00:00:29.518000,0 days 00:00:37.064000,0 days 00:00:25.093000,MEDIUM,7.0,True,1.0,1,True
HAM,8.0,0 days 00:01:31.760000,0 days 00:00:29.475000,0 days 00:00:37.201000,0 days 00:00:25.084000,MEDIUM,8.0,True,1.0,1,True
HAM,9.0,0 days 00:01:31.564000,0 days 00:00:29.496000,0 days 00:00:36.954000,0 days 00:00:25.114000,MEDIUM,9.0,True,1.0,1,True
HAM,10.0,0 days 00:01:31.515000,0 days 00:00:29.484000,0 days 00:00:36.923000,0 days 00:00:25.108000,MEDIUM,10.0,True,1.0,1,True
HAM,11.0,0 days 00:01:31.487000,0 days 00:00:29.412000,0 days 00:00:37.003000,0 days 00:00:25.072000,MEDIUM,11.0,True,1.0,1,True
HAM,12.0,0 days 00:01:31.563000,0 days 00:00:29.429000,0 days 00:00:36.937000,0 days 00:00:25.197000,MEDIUM,12.0,True,1.0,1,True
HAM,13.0,0 days 00:01:31.881000,0 days 00:00:29.817000,0 days 00:00:37.067000,0 days 00:00:24.997000,MEDIUM,13.0,True,1.0,1,True
HAM,14.0,0 days 00:01:31.609000,0 days 00:00:29.552000,0 days 00:00:37.045000,0 days 00:00:25.012000,MEDIUM,14.0,True,1.0,1,True
HAM,15.0,0 days 00:01:31.563000,0 days 00:00:29.520000,0 days 00:00:37.024000,0 days 00:00:25.019000,MEDIUM,15.0,True,1.0,1,True
HAM,16.0,0 days 00:01:31.931000,0 days 00:00:29.491000,0 days 00:00:36.755000,0 days 00:00:25.685000,MEDIUM,16.0,True,1.0,1,True
HAM,17.0,0 days 00:01:33.721000,0 days 00:00:29.743000,0 days 00:00:36.945000,0 days 00:00:27.033000,MEDIUM,17.0,True,1.0,1,True
HAM,18.0,0 days 00:01:35.071000,0 days 00:00:29.752000,0 days 00:00:37.612000,0 days 00:00:27.707000,MEDIUM,18.0,True,1.0,1,True
HAM,19.0,0 days 00:01:43.711000,0 days 00:00:34.046000,0 days 00:00:40.683000,0 days 00:00:28.982000,MEDIUM,19.0,True,1.0,1,True
HAM,20.0,0 days 00:01:40.021000,0 days 00:00:33.695000,0 days 00:00:39.257000,0 days 00:00:27.069000,MEDIUM,20.0,True,1.0,1,True
HAM,21.0,0 days 00:01:32.156000,0 days 00:00:29.881000,0 days 00:00:37.046000,0 days 00:00:25.229000,MEDIUM,21.0,True,1.0,1,True
HAM,22.0,0 days 00:01:31.095000,0 days 00:00:29.387000,0 days 00:00:36.821000,0 days 00:00:24.887000,MEDIUM,22.0,True,1.0,1,True
HAM,23.0,0 days 00:01:31.107000,0 days 00:00:29.369000,0 days 00:00:36.814000,0 days 00:00:24.924000,MEDIUM,23.0,True,1.0,1,True
HAM,24.0,0 days 00:01:31.635000,0 days 00:00:29.344000,0 days 00:00:36.872000,0 days 00:00:25.419000,MEDIUM,24.0,True,1.0,1,True
HAM,25.0,0 days 00:01:34.988000,0 days 00:00:29.923000,0 days 00:00:38.568000,0 days 00:00:26.497000,MEDIUM,25.0,True,1.0,1,True
HAM,26.0,0 days 00:01:40.792000,0 days 00:00:30.114000,0 days 00:00:42.065000,0 days 00:00:28.613000,MEDIUM,26.0,True,1.0,1,True
HAM,29.0,0 days 00:01:40.420000,0 days 00:00:31.690000,0 days 00:00:40.569000,0 days 00:00:28.161000,INTERMEDIATE,2.0,True,2.0,1,True
HAM,30.0,0 days 00:01:40.467000,0 days 00:00:31.833000,0 days 00:00:40.400000,0 days 00:00:28.234000,INTERMEDIATE,3.0,True,2.0,1,True
HAM,31.0,0 days 00:01:41.538000,0 days 00:00:31.900000,0 days 00:00:40.828000,0 days 00:00:28.810000,INTERMEDIATE,4.0,True,2.0,1,True
HAM,32.0,0 days 00:01:42.475000,0 days 00:00:32.107000,0 days 00:00:41.398000,0 days 00:00:28.970000,INTERMEDIATE,5.0,True,2.0,1,True
HAM,33.0,0 days 00:01:42.435000,0 days 00:00:32.312000,0 days 00:00:41.325000,0 days 00:00:28.798000,INTERMEDIATE,6.0,True,2.0,1,True
HAM,34.0,0 days 00:01:42.757000,0 days 00:00:32.419000,0 days 00:00:41.475000,0 days 00:00:28.863000,INTERMEDIATE,7.0,True,2.0,1,True
HAM,35.0,0 days 00:01:42.271000,0 days 00:00:32.513000,0 days 00:00:41.544000,0 days 00:00:28.214000,INTERMEDIATE,8.0,True,2.0,1,True
HAM,36.0,0 days 00:01:41.924000,0 days 00:00:32.184000,0 days 00:00:42.037000,0 days 00:00:27.703000,INTERMEDIATE,9.0,True,2.0,1,True
HAM,37.0,0 days 00:01:39.711000,0 days 00:00:31.694000,0 days 00:00:41.125000,0 days 00:00:26.892000,INTERMEDIATE,10.0,True,2.0,1,True
HAM,40.0,0 days 00:01:30.318000,0 days 00:00:28.689000,0 days 00:00:36.767000,0 days 00:00:24.862000,SOFT,3.0,False,3.0,1,True
HAM,41.0,0 days 00:01:30.118000,0 days 00:00:28.960000,0 days 00:00:36.367000,0 days 00:00:24.791000,SOFT,4.0,False,3.0,1,True
HAM,42.0,0 days 00:01:29.617000,0 days 00:00:28.922000,0 days 00:00:36.207000,0 days 00:00:24.488000,SOFT,5.0,False,3.0,1,True
HAM,43.0,0 days 00:01:29.793000,0 days 00:00:28.884000,0 days 00:00:36.195000,0 days 00:00:24.714000,SOFT,6.0,False,3.0,1,True
HAM,44.0,0 days 00:01:29.697000,0 days 00:00:29.087000,0 days 00:00:36.164000,0 days 00:00:24.446000,SOFT,7.0,False,3.0,1,True
HAM,45.0,0 days 00:01:29.438000,0 days 00:00:29.064000,0 days 00:00:36.042000,0 days 00:00:24.332000,SOFT,8.0,False,3.0,1,True
HAM,46.0,0 days 00:01:29.641000,0 days 00:00:29.154000,0 days 00:00:36.156000,0 days 00:00:24.331000,SOFT,9.0,False,3.0,1,True
HAM,47.0,0 days 00:01:29.538000,0 days 00:00:29.069000,0 days 00:00:36.025000,0 days 00:00:24.444000,SOFT,10.0,False,3.0,1,True
HAM,48.0,0 days 00:01:29.579000,0 days 00:00:29.144000,0 days 00:00:36,0 days 00:00:24.435000,SOFT,11.0,False,3.0,1,True
HAM,49.0,0 days 00:01:29.667000,0 days 00:00:29.218000,0 days 00:00:36.038000,0 days 00:00:24.411000,SOFT,12.0,False,3.0,1,True
HAM,50.0,0 days 00:01:29.682000,0 days 00:00:29.222000,0 days 00:00:35.946000,0 days 00:00:24.514000,SOFT,13.0,False,3.0,1,True
HAM,51.0,0 days 00:01:29.743000,0 days 00:00:29.128000,0 days 00:00:36.030000,0 days 00:00:24.585000,SOFT,14.0,False,3.0,1,True
HAM,52.0,0 days 00:01:30.146000,0 days 00:00:29.302000,0 days 00:00:36.135000,0 days 00:00:24.709000,SOFT,15.0,False,3.0,1,True
VER,2.0,0 days 00:01:31.773000,0 days 00:00:29.612000,0 days 00:00:37.222000,0 days 00:00:24.939000,MEDIUM,2.0,True,1.0,1,True
VER,3.0,0 days 00:01:32.200000,0 days 00:00:29.672000,0 days 00:00:37.216000,0 days 00:00:25.312000,MEDIUM,3.0,True,1.0,1,True
VER,4.0,0 days 00:01:31.933000,0 days 00:00:29.626000,0 days 00:00:37.090000,0 days 00:00:25.217000,MEDIUM,4.0,True,1.0,1,True
VER,5.0,0 days 00:01:31.778000,0 days 00:00:29.608000,0 days 00:00:37.007000,0 days 00:00:25.163000,MEDIUM,5.0,True,1.0,1,True
VER,6.0,0 days 00:01:31.711000,0 days 00:00:29.471000,0 days 00:00:37.070000,0 days 00:00:25.170000,MEDIUM,6.0,True,1.0,1,True
VER,7.0,0 days 00:01:31.935000,0 days 00:00:29.586000,0 days 00:00:37.024000,0 days 00:00:25.325000,MEDIUM,7.0,True,1.0,1,True
VER,8.0,0 days 00:01:32.038000,0 days 00:00:29.655000,0 days 00:00:37.087000,0 days 00:00:25.296000,MEDIUM,8.0,True,1.0,1,True
VER,9.0,0 days 00:01:31.883000,0 days 00:00:29.639000,0 days 00:00:36.978000,0 days 00:00:25.266000,MEDIUM,9.0,True,1.0,1,True
VER,10.0,0 days 00:01:31.661000,0 days 00:00:29.557000,0 days 00:00:36.884000,0 days 00:00:25.220000,MEDIUM,10.0,True,1.0,1,True
VER,11.0,0 days 00:01:31.810000,0 days 00:00:29.524000,0 days 00:00:37.060000,0 days 00:00:25.226000,MEDIUM,11.0,True,1.0,1,True
VER,12.0,0 days 00:01:31.894000,0 days 00:00:29.529000,0 days 00:00:37.046000,0 days 00:00:25.319000,MEDIUM,12.0,True,1.0,1,True
VER,13.0,0 days 00:01:31.759000,0 days 00:00:29.562000,0 days 00:00:37.021000,0 days 00:00:25.176000,MEDIUM,13.0,True,1.0,1,True
VER,14.0,0 days 00:01:31.700000,0 days 00:00:29.517000,0 days 00:00:37.027000,0 days 00:00:25.156000,MEDIUM,14.0,True,1.0,1,True
VER,15.0,0 days 00:01:32.249000,0 days 00:00:29.622000,0 days 00:00:36.874000,0 days 00:00:25.753000,MEDIUM,15.0,True,1.0,1,True
VER,16.0,0 days 00:01:32.504000,0 days 00:00:29.493000,0 days 00:00:37.097000,0 days 00:00:25.914000,MEDIUM,16.0,True,1.0,1,True
VER,17.0,0 days 00:01:35.359000,0 days 00:00:29.827000,0 days 00:00:37.281000,0 days 00:00:28.251000,MEDIUM,17.0,True,1.0,1,True
VER,18.0,0 days 00:01:36.172000,0 days 00:00:30.085000,0 days 00:00:37.891000,0 days 00:00:28.196000,MEDIUM,18.0,True,1.0,1,True
VER,19.0,0 days 00:01:42.485000,0 days 00:00:33.582000,0 days 00:00:40.925000,0 days 00:00:27.978000,MEDIUM,19.0,True,1.0,1,True
VER,20.0,0 days 00:01:37.108000,0 days 00:00:31.872000,0 days 00:00:39.086000,0 days 00:00:26.150000,MEDIUM,20.0,True,1.0,1,True
VER,21.0,0 days 00:01:33.488000,0 days 00:00:30.031000,0 days 00:00:37.975000,0 days 00:00:25.482000,MEDIUM,21.0,True,1.0,1,True
VER,22.0,0 days 00:01:31.904000,0 days 00:00:29.610000,0 days 00:00:37.027000,0 days 00:00:25.267000,MEDIUM,22.0,True,1.0,1,True
VER,23.0,0 days 00:01:32.143000,0 days 00:00:29.632000,0 days 00:00:37.148000,0 days 00:00:25.363000,MEDIUM,23.0,True,1.0,1,True
VER,24.0,0 days 00:01:33.020000,0 days 00:00:29.699000,0 days 00:00:37.341000,0 days 00:00:25.980000,MEDIUM,24.0,True,1.0,1,True
VER,25.0,0 days 00:01:36.063000,0 days 00:00:29.999000,0 days 00:00:38.958000,0 days 00:00:27.106000,MEDIUM,25.0,True,1.0,1,True
VER,28.0,0 days 00:01:41.176000,0 days 00:00:31.767000,0 days 00:00:41.184000,0 days 00:00:28.225000,INTERMEDIATE,2.0,True,2.0,1,True
VER,29.0,0 days 00:01:41.533000,0 days 00:00:31.943000,0 days 00:00:41.241000,0 days 00:00:28.349000,INTERMEDIATE,3.0,True,2.0,1,True
VER,30.0,0 days 00:01:42.098000,0 days 00:00:32.368000,0 days 00:00:41.071000,0 days 00:00:28.659000,INTERMEDIATE,4.0,True,2.0,1,True
VER,31.0,0 days 00:01:42.025000,0 days 00:00:32.091000,0 days 00:00:41.086000,0 days 00:00:28.848000,INTERMEDIATE,5.0,True,2.0,1,True
VER,32.0,0 days 00:01:42.538000,0 days 00:00:32.470000,0 days 00:00:41.197000,0 days 00:00:28.871000,INTERMEDIATE,6.0,True,2.0,1,True
VER,33.0,0 days 00:01:42.606000,0 days 00:00:32.275000,0 days 00:00:41.381000,0 days 00:00:28.950000,INTERMEDIATE,7.0,True,2.0,1,True
VER,34.0,0 days 00:01:42.447000,0 days 00:00:32.316000,0 days 00:00:41.542000,0 days 00:00:28.589000,INTERMEDIATE,8.0,True,2.0,1,True
VER,35.0,0 days 00:01:43.029000,0 days 00:00:32.556000,0 days 00:00:42.058000,0 days 00:00:28.415000,INTERMEDIATE,9.0,True,2.0,1,True
VER,36.0,0 days 00:01:41.958000,0 days 00:00:32.172000,0 days 00:00:42.007000,0 days 00:00:27.779000,INTERMEDIATE,10.0,True,2.0,1,True
VER,37.0,0 days 00:01:38.869000,0 days 00:00:31.547000,0 days 00:00:40.385000,0 days 00:00:26.937000,INTERMEDIATE,11.0,True,2.0,1,True
VER,40.0,0 days 00:01:30.056000,0 days 00:00:28.866000,0 days 00:00:36.203000,0 days 00:00:24.987000,HARD,2.0,True,3.0,1,True
VER,41.0,0 days 00:01:29.604000,0 days 00:00:28.789000,0 days 00:00:35.955000,0 days 00:00:24.860000,HARD,3.0,True,3.0,1,True
VER,42.0,0 days 00:01:29.472000,0 days 00:00:28.913000,0 days 00:00:35.869000,0 days 00:00:24.690000,HARD,4.0,True,3.0,1,True
VER,43.0,0 days 00:01:29.105000,0 days 00:00:28.984000,0 days 00:00:35.655000,0 days 00:00:24.466000,HARD,5.0,True,3.0,1,True
