Driver,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,FreshTyre,Stint,TrackStatus,IsAccurate
BEA,30.0,0 days 00:01:44.269000,0 days 00:00:32.802000,0 days 00:00:42.796000,0 days 00:00:28.671000,INTERMEDIATE,20.0,True,2.0,1,True
BEA,31.0,0 days 00:01:44,0 days 00:00:32.650000,0 days 00:00:42.843000,0 days 00:00:28.507000,INTERMEDIATE,21.0,True,2.0,1,True
BEA,32.0,0 days 00:01:43.978000,0 days 00:00:32.594000,0 days 00:00:43.040000,0 days 00:00:28.344000,INTERMEDIATE,22.0,True,2.0,1,True
BEA,33.0,0 days 00:01:43.937000,0 days 00:00:32.576000,0 days 00:00:42.987000,0 days 00:00:28.374000,INTERMEDIATE,23.0,True,2.0,1,True
BEA,34.0,0 days 00:01:43.948000,0 days 00:00:32.528000,0 days 00:00:43.004000,0 days 00:00:28.416000,INTERMEDIATE,24.0,True,2.0,1,True
BEA,35.0,0 days 00:01:44.439000,0 days 00:00:32.516000,0 days 00:00:43.479000,0 days 00:00:28.444000,INTERMEDIATE,25.0,True,2.0,1,True
BEA,36.0,0 days 00:01:42.937000,0 days 00:00:32.293000,0 days 00:00:42.610000,0 days 00:00:28.034000,INTERMEDIATE,26.0,True,2.0,1,True
BEA,37.0,0 days 00:01:43.169000,0 days 00:00:32.253000,0 days 00:00:42.514000,0 days 00:00:28.402000,INTERMEDIATE,27.0,True,2.0,1,True
BEA,38.0,0 days 00:01:42.626000,0 days 00:00:32.469000,0 days 00:00:42.129000,0 days 00:00:28.028000,INTERMEDIATE,28.0,True,2.0,1,True
BEA,39.0,0 days 00:01:42.278000,0 days 00:00:32.213000,0 days 00:00:42.044000,0 days 00:00:28.021000,INTERMEDIATE,29.0,True,2.0,12,True
BEA,40.0,0 days 00:01:42.278000,0 days 00:00:32.010000,0 days 00:00:42.352000,0 days 00:00:27.916000,INTERMEDIATE,30.0,True,2.0,1,True
BEA,43.0,0 days 00:01:42.511000,0 days 00:00:30.737000,0 days 00:00:45.785000,0 days 00:00:25.989000,MEDIUM,2.0,True,3.0,12,True
BEA,44.0,0 days 00:01:34.874000,0 days 00:00:30.124000,0 days 00:00:39.106000,0 days 00:00:25.644000,MEDIUM,3.0,True,3.0,1,True
BEA,45.0,0 days 00:01:33.735000,0 days 00:00:29.412000,0 days 00:00:39.086000,0 days 00:00:25.237000,MEDIUM,4.0,True,3.0,1,True
BEA,46.0,0 days 00:01:32.102000,0 days 00:00:29.222000,0 days 00:00:37.831000,0 days 00:00:25.049000,MEDIUM,5.0,True,3.0,1,True
BEA,47.0,0 days 00:01:32.098000,0 days 00:00:29.435000,0 days 00:00:37.530000,0 days 00:00:25.133000,MEDIUM,6.0,True,3.0,1,True
BEA,48.0,0 days 00:01:31.041000,0 days 00:00:29.191000,0 days 00:00:37.115000,0 days 00:00:24.735000,MEDIUM,7.0,True,3.0,1,True
BEA,49.0,0 days 00:01:31.273000,0 days 00:00:29.030000,0 days 00:00:37.237000,0 days 00:00:25.006000,MEDIUM,8.0,True,3.0,1,True
BEA,50.0,0 days 00:01:30.921000,0 days 00:00:29.104000,0 days 00:00:37.062000,0 days 00:00:24.755000,MEDIUM,9.0,True,3.0,1,True
BEA,51.0,0 days 00:01:31.121000,0 days 00:00:29.159000,0 days 00:00:36.990000,0 days 00:00:24.972000,MEDIUM,10.0,True,3.0,1,True
BEA,52.0,0 days 00:01:32.585000,0 days 00:00:29.012000,0 days 00:00:38.590000,0 days 00:00:24.983000,MEDIUM,11.0,True,3.0,1,True
